Name,Team,AVG,OBP,SLG,OPS,BABIP,wRC+,xBA,wOBA,xwOBA,ERA,ERA-,FIP,xFIP,FIP-,xFIP-,WHIP,SIERA
Gio Urshela,LAA,0.299,0.329,0.374,0.703,0.346,92.0,0.255,0.307,0.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giovanny Gallegos,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42,103.0,4.36,3.93,101.0,90.0,1.2,3.42
Glenn Otto,TEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.12,231.0,10.19,5.05,232.0,118.0,1.87,4.59
Gleyber Torres,NYY,0.273,0.347,0.453,0.8,0.288,123.0,0.28,0.346,0.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grae Kessinger,HOU,0.2,0.289,0.325,0.614,0.259,73.0,0.202,0.275,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graham Ashcraft,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,103.0,5.06,4.57,110.0,104.0,1.37,4.8
Grant Anderson,TEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,115.0,4.66,4.69,106.0,109.0,1.46,4.43
Grant Hartwig,NYM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84,116.0,4.44,4.84,103.0,110.0,1.39,4.44
Grayson Rodriguez,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,104.0,3.93,3.78,93.0,88.0,1.34,4.01
Greg Allen,NYY,0.217,0.333,0.478,0.812,0.333,125.0,0.102,0.349,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greg Weissert,NYY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,97.0,4.36,3.89,101.0,91.0,1.45,3.7
Gregory Santos,CHW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,78.0,2.65,3.31,59.0,77.0,1.3,3.32
Gregory Soto,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,105.0,3.59,3.83,80.0,87.0,1.14,3.6
Griffin Canning,LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32,99.0,4.29,3.82,98.0,89.0,1.24,3.8
Griffin Jax,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,91.0,3.22,3.57,76.0,83.0,1.18,3.36
Guillermo Zuniga,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,105.0,-0.74,0.91,-17.0,21.0,1.0,1.02
Gunnar Henderson,BAL,0.255,0.325,0.489,0.814,0.306,123.0,0.258,0.346,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gus Varland,- - -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64,153.0,5.71,5.26,129.0,120.0,2.11,5.23
Ha-seong Kim,SDP,0.26,0.351,0.398,0.749,0.306,112.0,0.243,0.33,0.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hanser Alberto,CHW,0.22,0.261,0.39,0.652,0.224,74.0,0.235,0.279,0.27,21.6,500.0,11.66,7.82,261.0,183.0,4.2,6.06
Harold Castro,COL,0.252,0.275,0.314,0.589,0.332,43.0,0.24,0.258,0.263,9.0,179.0,6.26,9.56,135.0,218.0,2.5,7.25
